ivtyp,iregn,ildv,iage,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,6,2,21,7037,7727,8417,8582,8701,8612,9559,10981,11216
1,6,2,22,6742,7221,7699,8482,8280,8386,8215,10788,10915
1,6,2,23,6234,6759,7284,8064,7621,7863,8220,10522,10749
1,6,2,24,5642,6539,7436,6958,7149,7631,8025,10325,10553
1,6,2,25,4987,5230,5473,5439,5658,5720,5717,10683,10650
1,7,2,1,11664,10252,8840,10541,9690,9690,9690,9690,9690
1,7,2,2,11139,6479,1820,7598,10197,10745,10148,10202,11962
1,7,2,3,13320,11290,9260,5215,10895,12843,12151,10147,12505
1,7,2,4,13446,11527,9608,7886,8799,11641,12396,10087,12540
1,7,2,5,13766,13134,12502,9455,9743,8930,12132,16376,12077
1,7,2,6,11505,12165,12826,10210,11086,10471,9751,15819,16411
1,7,2,7,10552,12023,13494,9257,10101,11490,10265,14062,15811
1,7,2,8,9259,10529,11799,10291,9616,10554,11686,12415,14016
1,7,2,9,10869,12364,13859,9944,10465,10063,10861,14507,12414
1,7,2,10,10361,11792,13223,13094,10215,10497,10349,14018,14486
1,7,2,11,12792,11988,11183,11985,12783,10153,10496,14067,14000
1,7,2,12,11244,11008,10772,10353,11452,12320,10266,13627,14046
1,7,2,13,11352,12025,12699,9672,10474,10989,11600,12115,13618
1,7,2,14,10815,11112,11410,11952,10214,10085,10166,12072,12122
1,7,2,15,9896,10810,11724,10872,11123,9585,9505,11163,12088
1,7,2,16,9714,10606,11499,10994,10207,10588,8937,9780,11115
1,7,2,17,8314,9303,10292,10721,10558,9661,10005,9666,9807
1,7,2,18,8373,9246,10120,9984,10019,10166,9281,10745,9609
