YEAR,ICD_19,ICL_19,IGP_19,ILDV_19,IOWN_19,SALES_19 (millions)
2019,3,1,9,1,2,0.000707275
2019,3,1,9,1,3,6.54E-06
2019,3,1,9,1,1,0.018802078
2019,3,1,11,2,1,0.000219128
2019,3,1,11,2,4,2.81E-05
2019,3,1,11,1,2,1.01E-06
2019,3,1,11,1,1,0.002588206
2019,3,2,1,1,2,0.000918649
2019,3,2,1,1,3,5.27E-06
2019,3,2,1,1,1,0.01625931
2019,3,2,2,1,1,6.35E-06
2019,3,2,3,1,2,4.02E-06
2019,3,2,3,1,1,0.003048845
2019,3,2,4,7,1,2.33E-05
2019,3,2,4,7,4,4.06E-06
2019,3,2,4,6,1,7.08E-05
2019,3,2,4,6,4,1.11E-05
2019,3,2,4,1,2,5.21E-05
2019,3,2,4,1,1,0.010090329
2019,3,2,5,16,1,2.17E-06
2019,3,2,5,5,1,8.19E-05
2019,3,2,5,5,4,2.18E-05
2019,3,2,5,1,1,0.000882394
2019,3,2,6,3,2,9.57E-05
2019,3,2,6,3,3,0.000427788
2019,3,2,6,3,1,0.002998653
2019,3,2,6,2,1,0.000216458
2019,3,2,6,2,4,3.24E-05
2019,3,2,6,1,2,0.000784155
2019,3,2,6,1,3,0.000283936
2019,3,2,6,1,1,0.078927486
2019,3,2,7,3,2,0.00044444
2019,3,2,7,3,3,0.000875695
2019,3,2,7,3,1,0.018344558
2019,3,2,7,2,2,2.99E-06
2019,3,2,7,2,1,0.000536787
2019,3,2,7,2,4,0.000124826
2019,3,2,7,1,2,0.000369566
2019,3,2,7,1,3,0.000216845
2019,3,2,7,1,1,0.06735055
2019,3,2,8,3,2,1.28E-06
2019,3,2,8,3,3,3.21E-07
2019,3,2,8,3,1,0.000138821
2019,3,2,8,1,2,0.000457292
2019,3,2,8,1,3,0.000238692
2019,3,2,8,1,1,0.079814755
2019,3,2,9,3,2,5.48E-06
2019,3,2,9,3,3,4.77E-07
2019,3,2,9,3,1,0.001534284
2019,3,2,9,1,2,3.35E-05
2019,3,2,9,1,3,2.58E-06
2019,3,2,9,1,1,0.013685876
