class,ifuel,iage,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,2,6,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839,10.70373933,10.08499864,9.90397715,10.29067353,10.65333749,11.34607634
1,2,7,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839,10.70373933,10.08499864,9.90397715,10.29067353,10.65333749
1,2,8,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839,10.70373933,10.08499864,9.90397715,10.29067353
1,2,9,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839,10.70373933,10.08499864,9.90397715
1,2,10,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839,10.70373933,10.08499864
1,2,11,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839,10.70373933
1,2,12,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839
1,2,13,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665
1,2,14,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941
1,2,15,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832
