Notes,,,,,,,,,,,,,,,,,
facility_id,facility_name,ccs_retrofit_eligible,rep_facility,existing_45q,existing_ntc,retrofit_status,years_operating,ng_thruput_mmcf,vintage,state,census_division,avg_co2tputrat_cdvn,med_co2tputrat_cdvn,co2_capture_mmcf,co2_capture_tonnes,throughput_tons,45q_eligible
1010780,TARGA DRIVER JOHNSON GAS PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,115062.1518,post,TX,7,0.04069,0.01402,1613.51479,30062.8,2363157.769,TRUE
1009130,WARNER CO2 TREATMENT PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,114954.2193,post,MI,3,0.03277,0.01402,1612.00125,30034.6,2360941.041,TRUE
1010154,HAWKVILLE GAS TREATING FACILITY,TRUE,FALSE,FALSE,FALSE,FALSE,0,110463.1563,post,TX,7,0.04069,0.01402,1549.02314,28861.2,2268703.148,TRUE
1011530,HAWKVILLE NORTH EAST CENTRAL DELIVERY POINT,TRUE,FALSE,FALSE,FALSE,FALSE,0,104981.9467,post,TX,7,0.04069,0.01402,1472.16022,27429.1,2156129.527,TRUE
1013052,NEWBERRY GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,103904.9183,post,TX,7,0.04069,0.01402,1457.05707,27147.7,2134009.412,TRUE
1008924,NATIONAL HELIUM PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,103799.2822,post,KS,4,0.03277,0.01402,1455.57574,27120.1,2131839.849,TRUE
1006697,NGPL INTERCONNECT,TRUE,FALSE,FALSE,FALSE,FALSE,0,100950.1708,post,TX,7,0.04069,0.01402,1415.62269,26375.7,2073324.519,TRUE
1013903,BATTLE HORSE PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,100232.9174,post,TX,7,0.04069,0.01402,1405.56466,26188.3,2058593.497,TRUE
1011614,LONESTAR PROCESSING FACILITY,TRUE,FALSE,FALSE,FALSE,FALSE,0,98006.14011,post,TX,7,0.04069,0.01402,1374.3386,25606.5,2012859.727,TRUE
1009772,"KH NORTH ELM GROVE GAS TREATING FACILITY HAUGHTON, LA",TRUE,FALSE,FALSE,FALSE,FALSE,0,96639.76079,post,LA,7,0.04069,0.01402,1355.17788,25249.5,1984796.894,TRUE
1012392,ENERGY TRANSFER 220 - GULF COAST BASIN,TRUE,FALSE,FALSE,FALSE,FALSE,0,96387.15285,post,TX,7,0.04069,0.01402,1351.63556,25183.5,1979608.808,TRUE
1005391,XTO - FARRAR PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,95452.50347,post,TX,7,0.04069,0.01402,1338.52899,24939.3,1960412.887,TRUE
1010119,O'CONNOR GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,20217.41693,post,CO,8,0.05746,0.06545,1323.27556,24655.1,415227.2938,TRUE
1012284,"SCISSORTAIL ENERGY CABLE COMPRESSOR STATION MCALESTER, OK",TRUE,FALSE,FALSE,FALSE,FALSE,0,86863.45073,post,OK,7,0.04069,0.01402,1218.08483,22695.2,1784010.079,TRUE
1012769,"SWG PIPELINE, LLC G&B 420 - FORT WORTH SYNCLINE",TRUE,FALSE,FALSE,FALSE,FALSE,0,86223.51061,post,TX,7,0.04069,0.01402,1209.11096,22528,1770866.926,TRUE
1012390,ENERGY TRANSFER 430 - PERMIAN BASIN,TRUE,FALSE,FALSE,FALSE,FALSE,0,84956.64351,post,TX,7,0.04069,0.01402,1191.34571,22197,1744847.885,TRUE
1011510,TARGA GAS PROCESSING LLC - HIGH PLAINS HOPSON GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,68986,post,TX,7,0.04069,0.01402,1182.52212,22032.6,1416841.241,TRUE
1012983,BRAZOS MIDSTREAM - COMANCHE PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,83307.0371,post,TX,7,0.04069,0.01402,1168.2133,21766,1710968.106,TRUE
1011949,KDB CENTRAL TREATING FACILITY PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,82553.04067,post,TX,7,0.04069,0.01402,1157.64002,21569,1695482.454,TRUE
1013406,BELLE ISLE BATTERY I PRODUCTION FACILITY,TRUE,FALSE,FALSE,FALSE,FALSE,0,81940.65779,post,LA,7,0.04069,0.01402,1149.05258,21409,1682905.274,TRUE
1011285,RIDGE AMINE PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,81409.03289,post,TX,7,0.04069,0.01402,1141.59762,21270.1,1671986.71,TRUE
1011130,TARGA TUPELO GAS PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,78809.85027,post,OK,7,0.04069,0.01402,1105.14932,20591,1618604.442,TRUE
1013266,CAYMUS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,97398,post,TX,7,0.04069,0.01402,1087.32502,20258.9,2000369.686,TRUE
1013662,TAYLOR GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,71449.3907,post,TX,7,0.04069,0.01402,1001.93371,18667.9,1467434.601,TRUE
1012572,MARATHON OIL EF - GULF COAST BASIN (AAPG BASIN NUMBER 220) - GB,TRUE,FALSE,FALSE,FALSE,FALSE,0,69917.668,post,TX,7,0.04069,0.01402,980.45438,18267.7,1435975.929,TRUE
1011365,REBEL GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,114830,post,TX,7,0.04069,0.01402,969.74156,18068.1,2358389.813,TRUE
1013647,IRON HORSE PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,68659.22117,post,OK,7,0.04069,0.01402,962.8072,17938.9,1410129.825,TRUE
1013364,ROADRUNNER GAS PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,14705.23088,post,NM,8,0.05746,0.06545,962.49054,17933,302017.4755,TRUE
1006483,"SCISSORTAIL ENERGY FEATHERSTON STATION QUINTON, OK",TRUE,FALSE,FALSE,FALSE,FALSE,0,67577.59989,post,OK,7,0.04069,0.01402,947.63964,17656.3,1387915.381,TRUE
1012809,RIPTIDE GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,112931,post,TX,7,0.04069,0.01402,933.66896,17396,2319387.965,TRUE
1012804,"ENLINK NORTH TEXAS GATHERING, LP G&B 415 - STRAWN BASIN",TRUE,FALSE,FALSE,FALSE,FALSE,0,65642.8527,post,TX,7,0.04069,0.01402,920.50871,17150.8,1348179.353,TRUE
1004110,WEST FRENCHIE DRAW AMINE PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,13867.91915,post,WY,8,0.05746,0.06545,907.6866,16911.9,284820.685,TRUE
1012433,MERIT ENERGY 345 ARKOMA BASIN GB,TRUE,FALSE,FALSE,FALSE,FALSE,0,64462.48469,post,TX,7,0.04069,0.01402,903.95643,16842.4,1323936.839,TRUE
1012566,"KINDER MORGAN, INC. 345 ARKOMA BASIN",TRUE,FALSE,FALSE,FALSE,FALSE,0,57798.61065,post,TX,7,0.04069,0.01402,810.50903,15101.3,1187073.54,TRUE
1013949,XTO - BOYSCOUT BOARDWALK,TRUE,FALSE,FALSE,FALSE,FALSE,0,56835.63856,post,AR,7,0.04069,0.01402,797.00529,14849.7,1167295.924,TRUE
1010592,ZIDER,TRUE,FALSE,FALSE,FALSE,FALSE,0,56734.59538,post,TX,7,0.04069,0.01402,795.58836,14823.3,1165220.69,TRUE
1012737,"SWG PIPELINE, LLC G&B 415 - STRAWN BASIN",TRUE,FALSE,FALSE,FALSE,FALSE,0,54662.44479,post,TX,7,0.04069,0.01402,766.53062,14281.9,1122662.657,TRUE
1013618,JACKSON LAKE GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,11710.55608,post,CO,8,0.05746,0.06545,766.48232,14281,240512.5504,TRUE
1012906,ARROWHEAD GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,235098,post,TX,7,0.04069,0.01402,752.11447,14013.3,4828465.804,TRUE
1012622,SUMMIT MIDSTREAM 415 STRAWN BASIN GB,TRUE,FALSE,FALSE,FALSE,FALSE,0,11129.16932,post,CO,8,0.05746,0.06545,728.42924,13572,228571.9722,TRUE
1012465,TARGA BUFFALO GAS PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,50913.13056,post,TX,7,0.04069,0.01402,713.95405,13302.3,1045658.874,TRUE
1012591,EMP 345 ARKOMA GB,TRUE,FALSE,FALSE,FALSE,FALSE,0,50575.93723,post,OK,7,0.04069,0.01402,709.22559,13214.2,1038733.564,TRUE
1012461,WTG SOUTH PERMIAN MIDSTREAM LLC 430 PERMIAN BASIN GB,TRUE,FALSE,FALSE,FALSE,FALSE,0,50334.04599,post,TX,7,0.04069,0.01402,705.83355,13151,1033765.578,TRUE
1012272,BASIN 540 DENVER JULESBURG ? NBL MIDSTREAM HOLDINGS LLC,TRUE,FALSE,FALSE,FALSE,FALSE,0,10644.54369,post,CO,8,0.05746,0.06545,696.7094,12981,218618.6834,TRUE
1013973,TRIDENT GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,49389.82812,post,TX,7,0.04069,0.01402,692.5928,12904.3,1014373.139,TRUE
1012150,LINCOLN PARISH GAS PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,16023,post,LA,7,0.04069,0.01402,681.50964,12697.8,329081.947,TRUE
1010782,BUCKING HORSE PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,37274,post,WY,8,0.05746,0.06545,675.39646,12583.9,765537.0713,TRUE
1011281,NORTH LOUISIANA GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,46590.85559,post,LA,7,0.04069,0.01402,653.34285,12173,956887.5659,TRUE
1010313,PANOLA II GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,46265.14444,post,TX,7,0.04069,0.01402,648.77541,12087.9,950198.0784,TRUE
1010881,HEREFORD RANCH PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,6021,post,CO,8,0.05746,0.06545,603.9812,11253.3,123659.8891,TRUE
1004837,KEATCHIE GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,41165.52594,post,LA,7,0.04069,0.01402,577.26354,10755.5,845461.613,TRUE
1013774,BLACK RIVER GAS PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,8409.36172,post,NM,8,0.05746,0.06545,550.4117,10255.2,172712.2966,TRUE
