"note:100% cf, tons per year",,,,,,,CAPEX,,,,,,INCREMENTAL OPEX,,,,,,PARASITIC LOAD,,,,REPORTING METRICS,,,,,
facility_id,facility_name,state,co2_capture_tons,ng_thruput_tons,dry_cooling_systempref,ccs_retrofit_applicable,compressors_mm2018$,after_cooler_mm2018$,cool_water_sys_mm2018$,plant_balance_mm2018$,tpc_mm2018$,total_cap_mm2018$,fixed_labor_mm2018$,fixed_taxinsur_mm2018$,fixed_omcost_mm2018$,variable_chemwaste_mm2018$,variable_maintenance_mm2018$,total_om_cost_mm2018$,cool_systemload_MW,CCSretfit_Elec_LoadMW,misc_parasitic_loadMW,tot_parasitic_retfitloadMW,power_cost_mm2018$,tot_incremental_costmm2018$,co2_ts_$ton,tot_increment_cop$ton,cost_co2_capture$tonne,cost_co2_avoid$Tonne
1008081,"VINE OIL & GAS, LP ARKLA BASIN",LA,12477.19701,889767.574,N,TRUE,2.273029542,0.011843979,0.103819878,1.185631645,3.574325044,4.343330486,0.070551828,0.071488644,0.142040473,0.03579022,0.040370072,0.046506264,0.001900488,0.104788394,0,0.106688883,0.027981164,0.479158664,0.127214528,1.009115703,69.32393567,79.32393567
1013558,MENTONE GAS PLANT,TX,12718.53958,906978.0731,Y,TRUE,2.29974885,0.012003884,0.231487394,1.201638768,3.744878895,4.550578492,0.073918306,0.074899824,0.14881813,0.037498,0.042296386,0.048725374,0.003588912,0.106815284,0,0.110404195,0.031181367,0.503887424,0.127214528,1.037031182,71.51829813,81.51829813
1013787,TARGA GATEWAY GAS PROCESSING PLANT,TX,12876.23096,918223.2812,Y,TRUE,2.317100296,0.012107872,0.233492752,1.212048476,3.774749397,4.586875544,0.074507905,0.075497252,0.150005157,0.037797097,0.042633757,0.049114026,0.003633409,0.108139638,0,0.111773047,0.03156797,0.508044501,0.127214528,1.033303001,71.22523566,81.22523566
1008920,DCP MIDSTREAM LP CIMARRON PLT,OK,13055.63605,931016.9266,Y,TRUE,2.336740532,0.012225717,0.235765306,1.223845186,3.80857674,4.62798074,0.075175606,0.076173819,0.151349425,0.038135815,0.043015819,0.04955416,0.003684033,0.109646352,0,0.113330386,0.027259754,0.50800622,0.127214528,1.020784578,70.24119526,80.24119526
1011981,VALLEY WELLS TREATER,TX,13073.96812,932324.2137,Y,TRUE,2.338741475,0.012237731,0.235996992,1.225047856,3.812024055,4.632169734,0.075243651,0.076242767,0.151486418,0.038170333,0.043054755,0.049599014,0.003689206,0.109800312,0,0.113489518,0.032052752,0.513234363,0.127214528,1.028714907,70.86457759,80.86457759
1013957,PANTHER CREEK PROCESSING FACILITY,OK,14100.91989,1005557.68,Y,TRUE,2.449145755,0.012902947,0.24882527,1.291638766,4.002512739,4.863641494,0.079003613,0.080052655,0.159056268,0.040077723,0.045206221,0.0520775,0.003978991,0.118425056,0,0.122404047,0.029442274,0.534668763,0.127214528,0.99796752,68.44760624,78.44760624
1011670,SILVER PLANT,TX,14257.00944,1016688.659,Y,TRUE,2.465647778,0.013002762,0.250750137,1.301630646,4.031031323,4.898295768,0.079566527,0.080623044,0.160189571,0.040363284,0.045528323,0.052448561,0.004023036,0.119735957,0,0.123758993,0.034953151,0.543779465,0.127214528,1.003109381,68.8517945,78.8517945
1010691,RED BLUFF PROCESSING PLANT,TX,14493.36853,2435858.606,Y,TRUE,2.490502516,0.013153285,0.253652886,1.316698662,4.074007349,4.950517958,0.080414809,0.08148259,0.161897399,0.040793609,0.046013714,0.053007731,0.004089732,0.121720994,0,0.125810726,0.03553262,0.549783683,0.053977593,0.423598834,68.47679238,78.47679238
1013904,BIG LAKE CRYO PLANT,TX,15055.07733,3706530.854,Y,TRUE,2.54894412,0.013508085,0.260494985,1.352215634,4.175162824,5.073436733,0.082411467,0.08350576,0.165917227,0.041806493,0.047156211,0.054323885,0.004248235,0.126438444,0,0.130686679,0.036909732,0.563929379,0.036847805,0.28600547,67.61804786,77.61804786
1007903,Velma Gas Plant,OK,15408.64,2301586.701,Y,TRUE,2.61418108,0.013905559,0.268160022,1.392004437,4.288251098,5.210855615,0.08464366,0.085767594,0.170411254,0.042938862,0.048433482,0.0557953,0.004427931,0.131786682,0,0.136214614,0.038470982,0.57976546,0.127214528,0.975680786,66.69570459,76.69570459
1002515,ARTESIA GAS PLANT,NM,15622.71,480391.2777,Y,TRUE,2.61418108,0.013905559,0.268160022,1.392004437,4.288251098,5.210855615,0.08464366,0.085767594,0.170411254,0.042938862,0.048433482,0.0557953,0.004427931,0.131786682,0,0.136214614,0.038470982,0.57976546,0.127214528,0.975680786,66.69570459,76.69570459
1012472,TARGA RESOURCES CORP. 345 ARKOMA BASIN GB,TX,15691.89421,1119012.438,Y,TRUE,2.61418108,0.013905559,0.268160022,1.392004437,4.288251098,5.210855615,0.08464366,0.085767594,0.170411254,0.042938862,0.048433482,0.0557953,0.004427931,0.131786682,0,0.136214614,0.038470982,0.57976546,0.127214528,0.975680786,66.69570459,76.69570459
1004137,XTO - COTTON COVE,TX,15819.1508,1128087.295,Y,TRUE,2.627092846,0.013984403,0.269680466,1.399896977,4.310654691,5.238079274,0.085085874,0.086215679,0.171301553,0.043163192,0.048686518,0.056086797,0.004463841,0.132855433,0,0.137319274,0.03878297,0.582905394,0.127214528,0.973413546,66.51748282,76.51748282
1005215,MIVIDA TREATER PLANT,TX,15856.52686,2104942.629,Y,TRUE,2.630877408,0.014007523,0.270126331,1.402211442,4.317222705,5.246060377,0.085215516,0.086347043,0.17156256,0.043228959,0.048760701,0.056172255,0.004474387,0.133169332,0,0.137643719,0.038874603,0.58382609,0.068338282,0.522552146,66.46550811,76.46550811
1012464,"DIVIDE CREEK GATHERING SYSTEM, LLC",CO,16477.32544,251745.7205,Y,TRUE,2.693237105,0.014389192,0.277486575,1.440418077,4.425530949,5.377670818,0.087353359,0.088513273,0.175866632,0.044313464,0.049983984,0.057581476,0.004649564,0.138383042,0,0.143032606,0.057278589,0.615901536,0.593773588,4.600284606,67.47539972,77.47539972
