Composite table:
    datamon            reg           HistoricalSpotPrice
!   -----------------  ----------    -------------------
    'July, 2013'       MA_ST                       4.562
    'July, 2013'       VA_ST                       3.518
    'July, 2013'       GA_ST                       3.701
    'July, 2013'       AL_ST                       3.739
    'July, 2013'       LA_ST                       3.627
    'July, 2013'       TX_ST                       3.569
    'July, 2013'       CA_ST                       3.883
    'July, 2013'       OR_ST                       3.480
    'July, 2013'       MA_FD                       4.562
    'July, 2013'       VA_FD                       3.518
    'July, 2013'       GA_FD                       3.701
    'July, 2013'       AL_FD                       3.739
    'July, 2013'       LA_FD                       3.627
    'July, 2013'       TX_FD                       3.569
    'July, 2013'       CA_FD                       3.883
    'July, 2013'       OR_FD                       3.480
    'August, 2013'     AL                          3.463
    'August, 2013'     AZ                          3.498
    'August, 2013'     AR                          3.370
    'August, 2013'     CA                          3.681
    'August, 2013'     CO                          3.257
    'August, 2013'     CT                          3.749
    'August, 2013'     DC                          3.470
    'August, 2013'     DE                          3.508
    'August, 2013'     FL                          3.772
    'August, 2013'     GA                          3.483
    'August, 2013'     ID                          3.241
    'August, 2013'     IL                          3.522
    'August, 2013'     IN                          3.539
    'August, 2013'     IA                          3.493
    'August, 2013'     KS                          3.281
    'August, 2013'     KY                          3.421
    'August, 2013'     LA                          3.391
