Composite Table: 
seasons  regions   hours       load
'4'      '6'       '6'      2055.755354
'4'      '6'       '7'      2131.042941
'4'      '6'       '8'      2514.090469
'4'      '6'       '9'      3177.976244
'4'      '6'       '10'      3199.599903
'4'      '6'       '11'      3179.235613
'4'      '6'       '12'      3167.448125
'4'      '6'       '13'      3063.722422
'4'      '6'       '14'      3222.177830
'4'      '6'       '15'      2993.023274
'4'      '6'       '16'      2740.376183
'4'      '6'       '17'      2825.902066
'4'      '6'       '18'      3504.651096
'4'      '6'       '19'      3684.997874
'4'      '6'       '20'      3672.332815
'4'      '6'       '21'      3582.459299
'4'      '6'       '22'      3361.201263
'4'      '6'       '23'      3148.217862
'4'      '6'       '24'      2943.629156
'1'      '7'       '1'      624.244072
'1'      '7'       '2'      732.311864
'1'      '7'       '3'      705.391332
'1'      '7'       '4'      669.073769
'1'      '7'       '5'      617.584290
'1'      '7'       '6'      632.115929
'1'      '7'       '7'      687.136102
'1'      '7'       '8'      758.487586
'1'      '7'       '9'      905.960323
'1'      '7'       '10'      817.663931
'1'      '7'       '11'      1184.751560
'1'      '7'       '12'      830.710510
'1'      '7'       '13'      820.311405
'1'      '7'       '14'      1182.800021
'1'      '7'       '15'      807.254094
'1'      '7'       '16'      1066.805799
'1'      '7'       '17'      810.365180
'1'      '7'       '18'      863.800071
'1'      '7'       '19'      846.187666
'1'      '7'       '20'      826.184957
'1'      '7'       '21'      844.046709
'1'      '7'       '22'      801.776344
'1'      '7'       '23'      775.494807
'1'      '7'       '24'      758.910238
'2'      '7'       '1'      1833.797448
'2'      '7'       '2'      1839.914770
'2'      '7'       '3'      1928.209026
'2'      '7'       '4'      1832.852722
'2'      '7'       '5'      1726.856323
'2'      '7'       '6'      1766.158296
'2'      '7'       '7'      1891.950478
'2'      '7'       '8'      2000.807303
'2'      '7'       '9'      1935.816148
'2'      '7'       '10'      2007.587802
'2'      '7'       '11'      2101.806608
'2'      '7'       '12'      2147.604626
'2'      '7'       '13'      2226.454635
'2'      '7'       '14'      2265.112843
'2'      '7'       '15'      2317.354347
'2'      '7'       '16'      2362.491705
'2'      '7'       '17'      2398.178493
'2'      '7'       '18'      2566.982813
'2'      '7'       '19'      2376.891973
'2'      '7'       '20'      2282.136840
'2'      '7'       '21'      2197.371991
'2'      '7'       '22'      2019.802729
'2'      '7'       '23'      2009.191691
'2'      '7'       '24'      1934.570906
'3'      '7'       '1'      744.224065
'3'      '7'       '2'      737.948142
'3'      '7'       '3'      686.939188
'3'      '7'       '4'      648.875297
'3'      '7'       '5'      596.537996
'3'      '7'       '6'      614.367166
'3'      '7'       '7'      680.869017
'3'      '7'       '8'      769.423014
'3'      '7'       '9'      804.750588
'3'      '7'       '10'      813.457875
'3'      '7'       '11'      820.946524
'3'      '7'       '12'      812.728147
'3'      '7'       '13'      820.036800
'3'      '7'       '14'      820.134431
'3'      '7'       '15'      810.217330
'3'      '7'       '16'      808.221426
'3'      '7'       '17'      837.654754
'3'      '7'       '18'      929.378530
'3'      '7'       '19'      926.424624
'3'      '7'       '20'      879.242459
'3'      '7'       '21'      835.474191
'3'      '7'       '22'      766.510755
'3'      '7'       '23'      761.162519
'3'      '7'       '24'      764.440380
'4'      '7'       '1'      1585.067193
'4'      '7'       '2'      1506.058326
'4'      '7'       '3'      1408.203388
'4'      '7'       '4'      1335.742637
'4'      '7'       '5'      1234.245413
'4'      '7'       '6'      1278.394600
'4'      '7'       '7'      1404.175098
'4'      '7'       '8'      1579.583752
'4'      '7'       '9'      1735.534869
'4'      '7'       '10'      1746.468545
'4'      '7'       '11'      1749.841176
'4'      '7'       '12'      1746.101800
'4'      '7'       '13'      1733.339893
'4'      '7'       '14'      1723.408868
'4'      '7'       '15'      1695.642074
'4'      '7'       '16'      1705.603753
'4'      '7'       '17'      1815.775614
'4'      '7'       '18'      2350.050605
'4'      '7'       '19'      2094.319331
'4'      '7'       '20'      1995.506899
'4'      '7'       '21'      1863.669982
'4'      '7'       '22'      1687.204681
'4'      '7'       '23'      1613.085587
'4'      '7'       '24'      1579.587060
'1'      '8'       '1'      420.380733
'1'      '8'       '2'      455.668130
'1'      '8'       '3'      418.245134
'1'      '8'       '4'      391.835070
'1'      '8'       '5'      355.624074
'1'      '8'       '6'      353.433090
'1'      '8'       '7'      374.385901
'1'      '8'       '8'      441.187348
'1'      '8'       '9'      503.529970
'1'      '8'       '10'      520.224786
'1'      '8'       '11'      525.149409
'1'      '8'       '12'      540.508605
'1'      '8'       '13'      543.427806
'1'      '8'       '14'      546.711548
'1'      '8'       '15'      543.532596
'1'      '8'       '16'      540.145915
'1'      '8'       '17'      538.780249
'1'      '8'       '18'      549.443961
'1'      '8'       '19'      510.635490
'1'      '8'       '20'      480.783727
'1'      '8'       '21'      483.460902
'1'      '8'       '22'      492.216101
'1'      '8'       '23'      473.283072
'1'      '8'       '24'      454.950613
'2'      '8'       '1'      990.352896
'2'      '8'       '2'      988.724251
'2'      '8'       '3'      908.347762
'2'      '8'       '4'      845.053988
'2'      '8'       '5'      780.886908
'2'      '8'       '6'      793.103712
'2'      '8'       '7'      874.472904
'2'      '8'       '8'      1012.581408
'2'      '8'       '9'      1096.148681
'2'      '8'       '10'      1221.405955
'2'      '8'       '11'      1228.083439
'2'      '8'       '12'      1286.786552
'2'      '8'       '13'      1335.563172
'2'      '8'       '14'      1347.505142
'2'      '8'       '15'      1353.895748
'2'      '8'       '16'      1327.458401
'2'      '8'       '17'      1340.910937
'2'      '8'       '18'      1328.341451
'2'      '8'       '19'      1239.386001
'2'      '8'       '20'      1156.656230
'2'      '8'       '21'      1099.675330
'2'      '8'       '22'      1042.458466
'2'      '8'       '23'      1011.915532
'2'      '8'       '24'      996.106597
'3'      '8'       '1'      466.638444
'3'      '8'       '2'      464.884614
'3'      '8'       '3'      434.646280
'3'      '8'       '4'      407.076657
'3'      '8'       '5'      367.773587
'3'      '8'       '6'      360.225999
'3'      '8'       '7'      377.222650
'3'      '8'       '8'      439.794663
'3'      '8'       '9'      484.322534
'3'      '8'       '10'      514.092089
'3'      '8'       '11'      520.458719
'3'      '8'       '12'      524.534701
'3'      '8'       '13'      528.707554
'3'      '8'       '14'      528.659004
'3'      '8'       '15'      523.284981
'3'      '8'       '16'      530.864079
'3'      '8'       '17'      540.869666
'3'      '8'       '18'      529.066248
'3'      '8'       '19'      546.944020
'3'      '8'       '20'      517.120534
'3'      '8'       '21'      500.476291
'3'      '8'       '22'      483.826516
'3'      '8'       '23'      466.410206
'3'      '8'       '24'      464.023971
'4'      '8'       '1'      1081.980537
'4'      '8'       '2'      1104.780928
'4'      '8'       '3'      1033.975542
'4'      '8'       '4'      978.073644
'4'      '8'       '5'      897.333792
'4'      '8'       '6'      890.647127
'4'      '8'       '7'      916.439645
'4'      '8'       '8'      1033.800290
'4'      '8'       '9'      1116.476520
'4'      '8'       '10'      1173.738168
'4'      '8'       '11'      1197.493836
'4'      '8'       '12'      1220.468672
'4'      '8'       '13'      1226.041841
'4'      '8'       '14'      1234.186832
'4'      '8'       '15'      1225.929188
'4'      '8'       '16'      1229.091735
'4'      '8'       '17'      1251.158616
'4'      '8'       '18'      1256.667570
'4'      '8'       '19'      1285.089014
'4'      '8'       '20'      1231.110255
'4'      '8'       '21'      1193.003245
'4'      '8'       '22'      1137.335800
'4'      '8'       '23'      1119.162534
'4'      '8'       '24'      1100.641795
'1'      '9'       '1'      532.729420
'1'      '9'       '2'      565.931944
'1'      '9'       '3'      556.978746
'1'      '9'       '4'      529.371893
'1'      '9'       '5'      488.358902
'1'      '9'       '6'      491.459178
'1'      '9'       '7'      513.788049
'1'      '9'       '8'      569.216133
'1'      '9'       '9'      579.709717
'1'      '9'       '10'      599.935510
'1'      '9'       '11'      611.229917
'1'      '9'       '12'      620.360884
'1'      '9'       '13'      617.535506
'1'      '9'       '14'      615.915485
