     COMPOSITE TABLE:
cl:: commodity         cl:: yr         cl:: USe         cl:: arcdestnode         cl:: ICMM_USA_export_MMst         cl:: ICMM_USA_export_Mmt         cl:: ICMM_USA_export_trills
     'Metallurgical'        2026            'UE'             'JPN_demand'             1.423519348                       1.291396565                      36.22941944
     'Metallurgical'        2026            'UE'             'WEU_demand'             15.47573243                       14.03936499                      393.8666531
     'Metallurgical'        2026            'UE'             'EEAE_demand'            5.131884576                       4.655572912                      130.6095341
     'Metallurgical'        2026            'UG'             'BRZ_demand'             0.8383320547                      0.7605229515                     21.33605257
     'Metallurgical'        2026            'UG'             'CHI_demand'             8.707474126                       7.899297046                      221.6104283
     'Metallurgical'        2026            'UG'             'JPN_demand'             0.4127916955                      0.3744787724                     10.50579572
     'Metallurgical'        2026            'UG'             'WEU_demand'             3.76218168                        3.412997869                      95.74977558
     'Metallurgical'        2026            'UG'             'EEAE_demand'            2.041497825                       1.852017876                      51.95734157
     'Metallurgical'        2026            'UI'             'CAN_demand'             2.726734909                       2.473655241                      69.39703548
     'Metallurgical'        2027            'UE'             'BRZ_demand'             1.901826867                       1.725310364                      48.40263208
     'Metallurgical'        2027            'UE'             'CHI_demand'             33.03653879                       29.97027949                      840.7996858
     'Metallurgical'        2027            'UE'             'JPN_demand'             1.384509637                       1.256007509                      35.23659895
     'Metallurgical'        2027            'UE'             'WEU_demand'             13.38919571                       12.14648848                      340.7630449
     'Metallurgical'        2027            'UE'             'EEAE_demand'            7.387614223                       6.701938859                      188.0192038
     'Metallurgical'        2027            'UG'             'BRZ_demand'             0.4145782291                      0.3760994903                     10.55126407
     'Metallurgical'        2027            'UG'             'CHI_demand'             9.085851045                       8.242555221                      231.2403473
     'Metallurgical'        2027            'UG'             'JPN_demand'             0.4014796718                      0.3642166648                     10.21789795
     'Metallurgical'        2027            'UG'             'WEU_demand'             3.254940409                       2.952835781                      82.84018163
     'Metallurgical'        2027            'UG'             'EEAE_demand'            2.938842085                       2.666075864                      74.79529009
     'Metallurgical'        2027            'UI'             'CAN_demand'             2.753646622                       2.498069166                      70.0819547
     'Metallurgical'        2028            'UE'             'BRZ_demand'             4.30081017                        3.901633996                      109.458193
     'Metallurgical'        2028            'UE'             'CHI_demand'             33.14021874                       30.06433647                      843.4384026
     'Metallurgical'        2028            'UE'             'JPN_demand'             1.347634497                       1.222554904                      34.29810455
     'Metallurgical'        2028            'UE'             'WEU_demand'             13.0101226                        11.80259872                      331.1154072
     'Metallurgical'        2028            'UE'             'EEAE_demand'            5.978477613                       5.42359011                       152.1558336
     'Metallurgical'        2028            'UG'             'BRZ_demand'             0.9375313258                      0.8505151235                     23.86073339
     'Metallurgical'        2028            'UG'             'CHI_demand'             9.114365551                       8.268423176                      231.9660586
     'Metallurgical'        2028            'UG'             'JPN_demand'             0.3907866301                      0.354516089                      9.945753637
     'Metallurgical'        2028            'UG'             'WEU_demand'             3.162786972                       2.869235489                      80.49482149
     'Metallurgical'        2028            'UG'             'EEAE_demand'            2.378278167                       2.157540227                      60.52860285
     'Metallurgical'        2028            'UI'             'CAN_demand'             2.765041771                       2.508406683                      70.37196805
     'Metallurgical'        2029            'UE'             'BRZ_demand'             4.540556511                       4.119128477                      115.5598809
     'Metallurgical'        2029            'UE'             'CHI_demand'             32.29556466                       29.29807828                      821.9414509
