COMPOSITE TABLE:
SCrv1  SReg  Sulf  Mtyp  Rank  CSupplyRegionName1      SRegStates          MTypeLabel        RankLabel         SulfLabel      BY_MMP            BY_PROD       BY_TPH          BY_PROD_CAP     BY_CAP_UTIL    CAP_UTIL_HIST     Btu
SCrv1  SReg  Sulf  Mtyp  Rank  RCoe_MTypeWage          RCoe_Fuel           RCoe_MTypeFuel    RCoe_UserCstCap   RCoe_POperOth  RCoe_Rho          Util_Max      Util_Mid        Util_Min        Util_Max_Adj   Util_Mid_Adj      Util_Min_Adj
1      01NA  2M    2D    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.500           0.050          0.030             0.030
2      01NA  3H    2D    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.650           0.050          0.030             0.050
3      01NA  2M    2D    4P    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.500           0.050          0.030             0.030
4      01NA  2M    1S    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
5      01NA  3H    1S    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
6      01NA  3H    1S    5G    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
7      02CA  1C    2D    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.500           0.050          0.030             0.030
8      02CA  2M    2D    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.500           0.050          0.030             0.030
9      02CA  2M    2D    4P    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.650           0.050          0.030             0.050
10     02CA  1C    1S    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
11     02CA  2M    1S    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
12     03SA  1C    2D    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.500           0.050          0.030             0.030
13     03SA  2M    2D    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.500           0.050          0.030             0.030
14     03SA  1C    2D    4P    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.500           0.050          0.030             0.030
15     03SA  1C    1S    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
16     03SA  2M    1S    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
17     04EI  2M    2D    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.500           0.050          0.030             0.030
18     04EI  3H    2D    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.650           0.050          0.030             0.050
19     04EI  2M    1S    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
20     04EI  3H    1S    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.650           0.050          0.030             0.050
21     04EI  2M    1S    3L    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
22     05WI  3H    1S    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
23     06GL  2M    1S    3L    0.000                   0.154               0.000             -0.039            0.085          0.670             0.970         0.920           0.650           0.150          0.090             0.050
24     06GL  3H    1S    3L    0.000                   0.154               0.000             -0.039            0.085          0.670             0.970         0.920           0.500           0.050          0.030             0.030
25     07DL  2M    1S    3L    0.000                   0.154               0.000             -0.039            0.085          0.670             0.970         0.920           0.650           0.150          0.090             0.050
26     08WM  1C    2D    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.500           0.050          0.030             0.030
27     08WM  1C    1S    2S    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
28     08WM  2M    1S    2S    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
29     09NW  1C    1S    2S    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.650           0.070          0.030             0.050
30     09NW  2M    1S    2S    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
31     10SW  1C    1S    2S    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.650           0.070          0.030             0.050
32     11WW  1C    2D    2S    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.500           0.050          0.030             0.030
33     11WW  1C    1S    2S    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
34     11WW  2M    1S    2S    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
35     12RM  1C    2D    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.930         0.830           0.650           0.100          0.050             0.050
36     12RM  1C    2D    4P    0.000                   0.154               0.000             -0.039            0.085          0.670             0.930         0.830           0.500           0.050          0.030             0.030
37     12RM  1C    1S    2S    0.000                   0.154               0.000             -0.039            0.085          0.670             0.970         0.920           0.500           0.050          0.030             0.030
38     13ZN  2M    2D    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.900         0.830           0.500           0.050          0.030             0.030
39     13ZN  1C    1S    1B    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
40     13ZN  2M    1S    2S    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.050          0.030             0.030
41     14AW  1C    1S    2S    0.000                   0.154               0.000             -0.039            0.085          0.670             0.920         0.850           0.500           0.150          0.090             0.010
;
COMPOSITE TABLE:
NSREGN M4    M3    M2    yr    Hclprd                  hclmmpr1
1      4     2     1     1998  6.24                    38.22
1      1     2     1     1998  63.72                   24.39
1      1     3     1     1998  46.75                   26.65
1      1     2     2     1998  19.50                   24.39
1      1     3     2     1998  21.55                   26.65
1      3     3     2     1998  8.69                    10.11
2      4     2     1     1998  62.18                   28.93
2      1     1     1     1998  34.75                   26.48
2      1     2     1     1998  73.30                   25.55
2      1     1     2     1998  29.11                   26.48
2      1     2     2     1998  77.58                   25.55
3      4     1     1     1998  5.69                    42.50
3      1     1     1     1998  7.61                    35.20
3      1     2     1     1998  5.06                    34.33
3      1     1     2     1998  0.50                    35.24
3      1     2     2     1998  6.85                    34.33
4      1     2     1     1998  22.71                   22.69
4      1     3     1     1998  41.75                   20.67
4      1     2     2     1998  11.71                   22.69
4      1     3     2     1998  34.00                   20.67
4      3     2     2     1998  0.00                    11.52
5      1     3     2     1998  2.67                    25.15
6      3     2     2     1998  27.51                   14.23
6      3     3     2     1998  28.01                   11.35
7      3     2     2     1998  30.24                   8.05
8      2     1     1     1998  0.00                    20.00
8      2     1     2     1998  21.79                   8.71
8      2     2     2     1998  20.72                   7.74
9      2     1     2     1998  134.03                  4.24
9      2     2     2     1998  3.28                    9.58
10     2     1     2     1998  160.00                  4.93
11     2     1     1     1998  1.72                    18.29
11     2     1     2     1998  7.42                    16.06
11     2     2     2     1998  7.96                    19.86
12     4     1     1     1998  0.00                    0.00
12     1     1     1     1998  45.78                   17.63
12     2     1     2     1998  9.93                    19.19
13     1     2     1     1998  0.20                    19.03
13     1     1     2     1998  19.53                   22.45
13     2     2     2     1998  20.18                   19.45
14     2     1     2     1998  5.98                    24.90
1      4     2     1     1999  8.44                    35.34
1      1     2     1     1999  54.86                   22.84
1      1     3     1     1999  44.28                   24.51
1      1     2     2     1999  15.73                   22.84
1      1     3     2     1999  18.20                   24.51
1      3     3     2     1999  8.68                    12.61
2      4     2     1     1999  46.85                   27.43
2      1     1     1     1999  34.51                   26.01
2      1     2     1     1999  74.22                   24.63
2      1     1     2     1999  33.24                   26.01
2      1     2     2     1999  72.72                   24.63
3      4     1     1     1999  3.98                    40.45
3      1     1     1     1999  5.63                    33.86
3      1     2     1     1999  6.69                    33.03
3      1     1     2     1999  0.26                    33.86
3      1     2     2     1999  5.99                    33.03
4      1     2     1     1999  22.45                   22.72
4      1     3     1     1999  41.08                   20.96
4      1     2     2     1999  9.32                    22.72
4      1     3     2     1999  31.16                   20.96
