COMPOSITE TABLE:
pu_id               mx_unt_echo         Plantid             Unitid              PlantName                     PlantState          NDReg_plant         Bit_share      GOB_share      Lig_share      SubBit_share   Plant_L_Prof   Plant_S_Prof
889_2               147                 889                 "2"                 "Baldwin Energy Compl"        "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
889_3               148                 889                 "3"                 "Baldwin Energy Compl"        "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
891_6               149                 891                 "6"                 "Havana"                      "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
892_1               150                 892                 "1"                 "Hennepin Power Stati"        "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
892_2               151                 892                 "2"                 "Hennepin Power Stati"        "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
897_2               152                 897                 "2"                 "Vermilion"                   "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
897_ST1             153                 897                 "ST1"               "Vermilion"                   "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
898_4               154                 898                 "4"                 "Wood River"                  "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
898_5               155                 898                 "5"                 "Wood River"                  "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
963_1               156                 963                 "1"                 "Dallman"                     "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
963_2               157                 963                 "2"                 "Dallman"                     "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
963_3               158                 963                 "3"                 "Dallman"                     "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
963_4               159                 963                 "4"                 "Dallman"                     "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
964_6               160                 964                 "6"                 "Lakeside"                    "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
964_7               161                 964                 "7"                 "Lakeside"                    "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
976_1               162                 976                 "1"                 "Marion"                      "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
976_2               163                 976                 "2"                 "Marion"                      "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
976_3               164                 976                 "3"                 "Marion"                      "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
976_4               165                 976                 "4"                 "Marion"                      "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
981_3               166                 981                 "3"                 "State Line Energy"           "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
981_4               167                 981                 "4"                 "State Line Energy"           "IN"                7                   1.0000         0.0000         0.0000         0.0000         1              1
983_1               168                 983                 "1"                 "Clifty Creek"                "IN"                7                   0.9528         0.0000         0.0000         0.0472         1              2
983_2               169                 983                 "2"                 "Clifty Creek"                "IN"                7                   0.9528         0.0000         0.0000         0.0472         1              2
983_3               170                 983                 "3"                 "Clifty Creek"                "IN"                7                   0.9528         0.0000         0.0000         0.0472         1              2
