COMPOSITE TABLE:
i  tc yr    InternationalDemand
EA 2  2001  84.30
EA 2  2002  84.20
EA 2  2003  89.40
EA 2  2004  96.40
EA 2  2005  94.80
EA 2  2006  104.20
EA 2  2007  106.40
EA 2  2008  112.36
EA 2  2009  113.97
EA 2  2010  125.99
EA 2  2011  127.45
EA 2  2012  122.61
EA 2  2013  124.03
EA 2  2014  125.93
EA 2  2015  124.43
EA 2  2016  129.26
EA 2  2017  139.32
EA 2  2018  140.35
EA 2  2019  133.52
EA 2  2020  121.47
EA 2  2021  126.02
EA 2  2022  128.88
EA 2  2023  129.14
EA 2  2024  128.72
EA 2  2025  130.00
EA 2  2026  123.75
EA 2  2027  117.79
EA 2  2028  112.12
EA 2  2029  106.73
EA 2  2030  101.60
EA 2  2031  103.75
EA 2  2032  105.95
EA 2  2033  108.20
EA 2  2034  110.49
EA 2  2035  112.84
EA 2  2036  113.84
EA 2  2037  114.86
EA 2  2038  115.88
EA 2  2039  116.91
EA 2  2040  117.95
EA 2  2041  120.01
EA 2  2042  122.10
EA 2  2043  124.23
EA 2  2044  126.39
EA 2  2045  128.60
EA 2  2046  130.55
EA 2  2047  132.54
EA 2  2048  134.55
EA 2  2049  136.60
EA 2  2050  138.67
GY 2  1990  12.50
GY 2  2001  15.40
GY 2  2002  18.30
GY 2  2003  23.10
GY 2  2004  26.70
GY 2  2005  25.20
GY 2  2006  26.50
GY 2  2007  34.30
GY 2  2008  18.90
GY 2  2009  15.36
GY 2  2010  16.72
GY 2  2011  16.73
GY 2  2012  17.23
GY 2  2013  19.52
GY 2  2014  18.86
GY 2  2015  21.33
GY 2  2016  20.79
GY 2  2017  21.34
GY 2  2018  20.32
GY 2  2019  23.07
GY 2  2020  17.87
GY 2  2021  18.87
GY 2  2022  17.60
GY 2  2023  14.86
GY 2  2024  14.22
GY 2  2025  14.00
GY 2  2026  13.86
GY 2  2027  13.72
GY 2  2028  13.58
GY 2  2029  13.44
GY 2  2030  13.30
GY 2  2031  13.16
GY 2  2032  13.03
GY 2  2033  12.90
GY 2  2034  12.77
GY 2  2035  12.64
GY 2  2036  12.51
GY 2  2037  12.38
GY 2  2038  12.25
GY 2  2039  12.13
GY 2  2040  12.00
GY 2  2041  11.98
GY 2  2042  11.96
GY 2  2043  11.93
GY 2  2044  11.91
GY 2  2045  11.88
GY 2  2046  11.86
GY 2  2047  11.84
GY 2  2048  11.81
GY 2  2049  11.79
GY 2  2050  11.76
IN 2  1990  0.00
IN 2  2001  10.20
IN 2  2002  11.50
IN 2  2003  14.40
IN 2  2004  16.10
IN 2  2005  23.10
IN 2  2006  27.00
IN 2  2007  32.90
IN 2  2008  32.99
IN 2  2009  52.20
IN 2  2010  65.69
IN 2  2011  80.66
IN 2  2012  106.94
IN 2  2013  123.79
IN 2  2014  152.55
IN 2  2015  147.44
IN 2  2016  130.57
IN 2  2017  137.78
IN 2  2018  156.27
IN 2  2019  168.73
IN 2  2020  152.64
IN 2  2021  167.80
IN 2  2022  175.21
IN 2  2023  183.05
IN 2  2024  184.82
IN 2  2025  186.00
IN 2  2026  194.49
IN 2  2027  203.37
IN 2  2028  212.65
IN 2  2029  222.35
IN 2  2030  232.50
IN 2  2031  243.11
IN 2  2032  254.21
IN 2  2033  265.81
IN 2  2034  277.94
IN 2  2035  290.63
IN 2  2036  298.86
IN 2  2037  307.34
IN 2  2038  316.05
IN 2  2039  325.01
IN 2  2040  334.22
IN 2  2041  343.69
IN 2  2042  353.44
IN 2  2043  363.45
IN 2  2044  373.76
IN 2  2045  384.35
IN 2  2046  395.25
IN 2  2047  406.45
IN 2  2048  417.97
IN 2  2049  429.82
IN 2  2050  442.00
JA 2  1990  38.50
JA 2  2001  75.20
JA 2  2002  75.80
JA 2  2003  83.00
JA 2  2004  91.70
JA 2  2005  88.80
JA 2  2006  87.80
JA 2  2007  91.90
JA 2  2008  91.41
JA 2  2009  78.90
JA 2  2010  89.09
JA 2  2011  87.73
JA 2  2012  93.46
JA 2  2013  97.66
JA 2  2014  92.33
JA 2  2015  96.71
JA 2  2016  93.09
JA 2  2017  99.15
JA 2  2018  98.24
JA 2  2019  93.42
JA 2  2020  88.11
JA 2  2021  89.88
JA 2  2022  90.64
JA 2  2023  90.47
JA 2  2024  90.64
JA 2  2025  91.00
JA 2  2026  92.73
JA 2  2027  94.50
JA 2  2028  96.30
JA 2  2029  98.13
JA 2  2030  100.00
JA 2  2031  101.64
