COMPOSITE TABLE:
M4     M11    tc     yr     hclworld
2      2      1      2006   0.53
3      2      1      2006   16.09
4      2      1      2006   22.46
1      3      1      2006   68.27
2      3      1      2006   3.09
3      3      1      2006   1.10
4      3      1      2006   74.96
1      4      1      2006   49.05
2      4      1      2006   12.68
3      4      1      2006   0.77
4      4      1      2006   62.50
1      5      1      2006   11.15
2      5      1      2006   0.00
3      5      1      2006   0.00
4      5      1      2006   11.16
1      6      1      2006   0.22
2      6      1      2006   2.15
3      6      1      2006   0.88
4      6      1      2006   3.31
1      7      1      2006   2.45
2      7      1      2006   62.28
3      7      1      2006   0.11
4      7      1      2006   64.93
1      8      1      2006   37.20
2      8      1      2006   0.03
3      8      1      2006   35.28
4      8      1      2006   72.64
1      9      1      2006   0.22
2      9      1      2006   25.68
3      9      1      2006   0.00
4      9      1      2006   25.90
1      10     1      2006   31.01
2      10     1      2006   144.07
3      10     1      2006   6.46
4      10     1      2006   181.77
1      11     1      2006   209.60
2      11     1      2006   363.28
3      11     1      2006   68.49
4      11     1      2006   644.41
1      1      2      2006   33.62
2      1      2      2006   94.91
3      1      2      2006   8.60
4      1      2      2006   137.13
1      2      2      2006   16.37
2      2      2      2006   1.45
3      2      2      2006   9.36
4      2      2      2006   27.19
1      3      2      2006   0.94
2      3      2      2006   0.00
3      3      2      2006   0.14
4      3      2      2006   1.21
1      4      2      2006   2.81
2      4      2      2006   4.19
3      4      2      2006   0.00
4      4      2      2006   7.00
1      5      2      2006   1.01
2      5      2      2006   0.00
3      5      2      2006   0.08
4      5      2      2006   1.06
1      6      2      2006   8.42
2      6      2      2006   14.68
3      6      2      2006   4.03
4      6      2      2006   27.12
1      7      2      2006   0.40
2      7      2      2006   4.30
3      7      2      2006   0.08
4      7      2      2006   4.81
1      8      2      2006   0.00
2      8      2      2006   0.00
3      8      2      2006   0.00
4      8      2      2006   0.00
1      9      2      2006   0.00
2      9      2      2006   0.00
3      9      2      2006   0.00
4      9      2      2006   0.00
1      10     2      2006   0.00
2      10     2      2006   23.15
3      10     2      2006   0.00
4      10     2      2006   23.15
1      11     2      2006   63.59
2      11     2      2006   142.68
3      11     2      2006   22.29
4      11     2      2006   228.67
1      1      1      2007   4.75
2      1      1      2007   115.60
3      1      1      2007   5.58
4      1      1      2007   126.21
1      2      1      2007   11.28
2      2      1      2007   0.11
3      2      1      2007   15.58
4      2      1      2007   26.98
1      3      1      2007   58.06
2      3      1      2007   13.49
3      3      1      2007   1.54
4      3      1      2007   74.19
1      4      1      2007   51.86
2      4      1      2007   15.65
3      4      1      2007   0.33
4      4      1      2007   67.85
1      5      1      2007   7.29
2      5      1      2007   0.00
3      5      1      2007   0.00
4      5      1      2007   7.28
1      6      1      2007   0.30
2      6      1      2007   3.40
3      6      1      2007   0.86
4      6      1      2007   4.54
1      7      1      2007   2.97
2      7      1      2007   52.61
3      7      1      2007   0.22
4      7      1      2007   55.78
1      8      1      2007   42.22
2      8      1      2007   0.00
3      8      1      2007   37.57
4      8      1      2007   80.14
1      9      1      2007   0.11
2      9      1      2007   30.75
3      9      1      2007   0.00
4      9      1      2007   30.86
1      10     1      2007   21.48
2      10     1      2007   166.23
3      10     1      2007   7.84
4      10     1      2007   198.53
1      11     1      2007   200.32
2      11     1      2007   397.85
3      11     1      2007   69.52
4      11     1      2007   672.34
1      1      2      2007   34.88
2      1      2      2007   107.64
3      1      2      2007   8.87
4      1      2      2007   151.35
1      2      2      2007   20.44
2      2      2      2007   1.02
3      2      2      2007   10.72
4      2      2      2007   32.18
1      3      2      2007   0.73
2      3      2      2007   0.00
3      3      2      2007   0.00
4      3      2      2007   0.77
1      4      2      2007   3.14
2      4      2      2007   4.30
3      4      2      2007   0.00
4      4      2      2007   7.44
1      5      2      2007   0.24
2      5      2      2007   0.00
3      5      2      2007   0.00
4      5      2      2007   0.29
1      6      2      2007   9.00
2      6      2      2007   16.31
3      6      2      2007   3.93
4      6      2      2007   29.32
1      7      2      2007   0.00
2      7      2      2007   2.67
3      7      2      2007   0.11
4      7      2      2007   2.76
1      8      2      2007   0.00
2      8      2      2007   0.00
3      8      2      2007   0.00
4      8      2      2007   0.00
1      9      2      2007   2.96
2      9      2      2007   0.00
3      9      2      2007   0.00
4      9      2      2007   0.00
1      10     2      2007   0.00
2      10     2      2007   22.60
3      10     2      2007   0.00
4      10     2      2007   22.60
1      11     2      2007   68.43
2      11     2      2007   154.54
3      11     2      2007   23.63
4      11     2      2007   246.70
1      1      1      2008   5.17
2      1      1      2008   130.62
3      1      1      2008   1.65
4      1      1      2008   139.00
1      2      1      2008   16.83
2      2      1      2008   0.96
3      2      1      2008   21.19
4      2      1      2008   38.97
1      3      1      2008   52.19
2      3      1      2008   11.41
3      3      1      2008   2.09
4      3      1      2008   69.12
1      4      1      2008   52.69
2      4      1      2008   16.76
3      4      1      2008   0.22
4      4      1      2008   69.67
1      5      1      2008   4.87
2      5      1      2008   0.00
3      5      1      2008   0.00
4      5      1      2008   4.85
1      6      1      2008   0.22
2      6      1      2008   4.88
3      6      1      2008   1.13
4      6      1      2008   6.21
1      7      1      2008   1.78
2      7      1      2008   44.13
3      7      1      2008   0.11
4      7      1      2008   46.08
1      8      1      2008   40.59
2      8      1      2008   0.00
3      8      1      2008   41.84
4      8      1      2008   82.53
1      9      1      2008   0.55
2      9      1      2008   22.38
3      9      1      2008   0.00
4      9      1      2008   22.93
1      10     1      2008   24.13
2      10     1      2008   171.56
3      10     1      2008   5.07
4      10     1      2008   202.16
1      11     1      2008   199.03
2      11     1      2008   402.69
3      11     1      2008   73.31
4      11     1      2008   681.50
1      1      2      2008   31.31
2      1      2      2008   109.68
3      1      2      2008   8.05
4      1      2      2008   149.03
1      2      2      2008   27.58
2      2      2      2008   4.13
3      2      2      2008   10.84
4      2      2      2008   42.55
1      3      2      2008   0.11
2      3      2      2008   0.00
3      3      2      2008   0.00
4      3      2      2008   0.55
1      4      2      2008   3.20
2      4      2      2008   3.42
3      4      2      2008   0.00
4      4      2      2008   6.72
1      5      2      2008   -0.02
2      5      2      2008   0.00
3      5      2      2008   0.00
4      5      2      2008   -0.02
1      6      2      2008   7.81
2      6      2      2008   17.47
3      6      2      2008   4.50
4      6      2      2008   29.73
1      7      2      2008   0.11
2      7      2      2008   3.65
3      7      2      2008   0.00
4      7      2      2008   3.81
1      8      2      2008   0.00
2      8      2      2008   0.00
3      8      2      2008   0.00
4      8      2      2008   0.00
1      9      2      2008   2.93
2      9      2      2008   0.00
3      9      2      2008   0.00
4      9      2      2008   0.00
1      10     2      2008   0.13
2      10     2      2008   23.22
3      10     2      2008   0.00
4      10     2      2008   23.46
1      11     2      2008   70.22
2      11     2      2008   161.56
3      11     2      2008   23.39
4      11     2      2008   255.83
1      1      1      2009   1.98
2      1      1      2009   145.06
3      1      1      2009   4.30
4      1      1      2009   152.12
1      2      1      2009   11.19
2      2      1      2009   0.85
3      2      1      2009   9.79
4      2      1      2009   21.84
1      3      1      2009   37.77
2      3      1      2009   27.76
3      3      1      2009   0.88
4      3      1      2009   69.89
1      4      1      2009   50.21
2      4      1      2009   24.36
3      4      1      2009   0.00
4      4      1      2009   74.57
1      5      1      2009   4.93
2      5      1      2009   0.00
3      5      1      2009   0.00
4      5      1      2009   4.91
1      6      1      2009   0.00
2      6      1      2009   6.06
3      6      1      2009   0.46
4      6      1      2009   6.57
1      7      1      2009   0.11
2      7      1      2009   23.70
3      7      1      2009   0.00
4      7      1      2009   23.92
1      8      1      2009   44.52
2      8      1      2009   0.04
3      8      1      2009   29.23
4      8      1      2009   73.75
1      9      1      2009   0.00
2      9      1      2009   30.04
3      9      1      2009   0.00
4      9      1      2009   30.09
1      10     1      2009   20.13
2      10     1      2009   219.74
3      10     1      2009   3.20
4      10     1      2009   243.16
1      11     1      2009   170.83
2      11     1      2009   477.61
3      11     1      2009   47.86
4      11     1      2009   700.81
1      1      1      2010   0.65
2      1      1      2010   151.66
3      1      1      2010   3.53
4      1      1      2010   156.53
1      2      1      2010   10.10
2      2      1      2010   5.00
3      2      1      2010   10.51
4      2      1      2010   25.60
1      3      1      2010   26.63
2      3      1      2010   42.99
3      3      1      2010   1.43
4      3      1      2010   73.52
1      4      1      2010   44.26
2      4      1      2010   25.24
3      4      1      2010   0.00
4      4      1      2010   69.50
1      5      1      2010   7.52
2      5      1      2010   0.00
3      5      1      2010   0.00
4      5      1      2010   7.50
1      6      1      2010   0.00
2      6      1      2010   5.51
3      6      1      2010   0.73
4      6      1      2010   6.32
1      7      1      2010   0.21
2      7      1      2010   19.35
3      7      1      2010   0.00
4      7      1      2010   19.62
1      8      1      2010   43.34
2      8      1      2010   9.55
3      8      1      2010   27.43
4      8      1      2010   80.47
1      9      1      2010   0.00
2      9      1      2010   23.81
3      9      1      2010   0.00
4      9      1      2010   23.81
1      10     1      2010   15.48
2      10     1      2010   294.19
3      10     1      2010   2.98
4      10     1      2010   312.99
1      11     1      2010   148.18
2      11     1      2010   577.29
3      11     1      2010   46.60
4      11     1      2010   775.86
1      1      1      2011   1.05
2      1      1      2011   157.40
3      1      1      2011   3.86
4      1      1      2011   163.52
1      2      1      2011   22.38
2      2      1      2011   8.13
3      2      1      2011   7.24
4      2      1      2011   37.75
1      3      1      2011   25.80
