,,,,,,Bbl/d,Mcf/d,Bbl/d,Mcf/d,,,,,,,,,,Bbl/year,Mcf/year,Bbl/year,Mcf/year
field_name,field_nickname,evaluation_unit,oil_or_gas,water_depth_ft,field_size_class,initial_oil_prod_rate_day,initial_gas_prod_rate_day,max_oil_production_rate_day,max_gas_production_rate_day,oil_decline_rate,gas_decline_rate,predecline_prod_fraction_oil,predecline_prod_fraction_gas,platform_type,discovery_year,year_production_start,ramp_up_years,hyper_decline_coef,initial_oil_prod_rate,initial_gas_prod_rate,max_oil_production_rate,max_gas_production_rate
MI713,G20611,WGOM0002,gas,108.2677,6,225.2055,1841.096,377.8082,3690.412,0.25,0.3,0.5,0.5,FP,2003,2044,2,1,82200.0075,672000.04,137899.993,1347000.38
ST109,G22740,CGOM0002,both,62.33596,6,252.0548,1801.644,446.8493,3529.316,0.25,0.3,0.5,0.5,FP,2003,2041,2,1,92000.002,657600.06,163099.9945,1288200.34
VR092,G23815,CGOM0002,both,16.4042,6,230.411,1604.384,407.9452,3096.987,0.25,0.3,0.5,0.5,FP,2003,2043,2,1,84100.015,585600.16,148899.998,1130400.255
GC435,G18387,CGOM0816,gas,4051.837,6,360.274,2949.042,501.0959,5033.426,0.25,0.3,0.5,0.5,SS,2003,2039,2,1,131500.01,1076400.33,182900.0035,1837200.49
AT183,Sturgis,CGOM0816,oil,3707.349,8,11137.53,0,11137.53,0,0.25,0.3,0.5,0.5,FPS,2003,2050,2,1,4065198.45,0,4065198.45,0
BAA65,BAA 65 G24350,WGOM0002,both,160.7612,6,234.5205,1704.658,410.9589,3335.343,0.25,0.3,0.5,0.5,FP,2003,2043,2,1,85599.9825,622200.17,149999.9985,1217400.195
WC247,G22533,WGOM0002,both,75.45932,6,251.7808,1763.836,447.3973,3432.329,0.25,0.3,0.5,0.5,FP,2003,2042,2,1,91899.992,643800.14,163300.0145,1252800.085
EI336,G23881,CGOM0002,gas,252.6247,6,181.3699,1850.959,267.6712,3808.768,0.25,0.3,0.5,0.5,FP,2003,2042,2,1,66200.0135,675600.035,97699.988,1390200.32
WC099,G22509,WGOM0002,gas,42.65092,5,185.2055,1660.274,292.6027,3351.782,0.25,0.3,0.5,0.5,FP,2003,2043,2,1,67600.0075,606000.01,106799.9855,1223400.43
EC099,G24798,CGOM0002,gas,62.33596,5,213.1507,1663.562,361.6439,3294.247,0.25,0.3,0.5,0.5,FP,2003,2045,2,1,77800.0055,607200.13,132000.0235,1202400.155
GC823,Parmer x-Puma,CGOM0816,oil,4127.296,10,8050.137,10801.65,19916.99,10837.81,0.25,0.3,0.5,0.5,SS,2004,2036,2,1,2938300.005,3942602.25,7269701.35,3955800.65
WC129,G24711,WGOM0002,gas,36.08924,6,191.7808,1788.494,296.7123,3631.234,0.25,0.3,0.5,0.5,FP,2004,2041,2,1,69999.992,652800.31,108299.9895,1325400.41
AC818,Tiger,WGOM2400,both,9002.625,11,14747.94,47901.38,20665.75,66509.61,0.25,0.3,0.5,0.5,SS,2004,2038,2,1,5382998.1,17484003.7,7542998.75,24276007.65
SS145,G34831,CGOM0002,gas,36.08924,6,242.1918,1821.37,421.3699,3601.645,0.25,0.3,0.5,0.5,FP,2004,2044,2,1,88400.007,664800.05,153800.0135,1314600.425
SS272,G24943,CGOM0002,both,219.8163,6,223.8356,1663.562,387.9452,3272.877,0.25,0.3,0.5,0.5,FP,2004,2043,2,1,81699.994,607200.13,141599.998,1194600.105
ST016,G21663,CGOM0002,gas,29.52756,5,201.9178,1602.74,338.3562,3174.248,0.25,0.3,0.5,0.5,FP,2004,2042,2,1,73699.997,585000.1,123500.013,1158600.52
MP113,G23968,CGOM0002,gas,49.2126,6,226.3014,1916.713,371.7808,3886.028,0.25,0.3,0.5,0.5,FP,2004,2045,2,1,82600.011,699600.245,135699.992,1418400.22
MC322,G05834,CGOM0002,gas,606.9554,5,291.7808,2649.863,366.5754,4440.001,0.25,0.3,0.5,0.5,SS,1991,2038,2,1,106499.992,967199.995,133800.021,1620600.365
AT488,G18617,CGOM0816,gas,4891.732,6,281.3699,3023.014,322.4658,5296.44,0.25,0.3,0.5,0.5,SS,2004,2038,2,1,102700.0135,1103400.11,117700.017,1933200.6
MC617,G18265,CGOM0002,gas,469.1601,5,311.2329,2464.11,417.2603,3946.851,0.25,0.3,0.5,0.5,SS,2004,2040,2,1,113600.0085,899400.15,152300.0095,1440600.615
