Composite Table:
h               h1              datayear    HistoricalCapacity
TX_W-MX_NE      MX_NE           2013        1000
TX_W-MX_NE      MX_NE           2014        1000
TX_W-MX_NE      MX_NE           2015        1000
TX_W-MX_NE      MX_NE           2016        1570
TX_W-MX_NE      MX_NE           2017        4070
TX_W-MX_NE      MX_NE           2018        4070
TX_W-MX_NE      MX_NE           2019        4070
TX_W-MX_NE      MX_NE           2020        4070
TX_W-MX_NE      MX_NE           2021        4070
;


! Only put TX intra-state projects here.
! SYK	8/19/2022	Added Oasis Modernization Project
Composite table:
    h         h1        year    PlannedCapacity
!   --------  --------  ----    ---------------
    TX_W      TX_E      2022                 60		!Oasis Modernization Project
    ;
