!rng_produced in MMcf/yr
!lcoe in MMBtu/yr
COMPOSITE TABLE:
proj_id	reg	rng_type	rng_produced	lcoe	
566	KS	landfill	118.545		28.634	
567	MN	farm		387.503		28.636	
568	UT	landfill	117.710		28.760	
569	KY	landfill	117.256		28.829	
570	MS	landfill	116.896		28.885	
571	CA	farm		372.473		28.892	
572	TX	farm		372.144		28.897	
573	ID	landfill	116.456		28.953	
574	KS	farm		366.556		28.998	
575	AR	landfill	116.010		29.023	
576	AZ	farm		362.911		29.065	
577	ID	farm		362.522		29.072	
578	NC	landfill	114.864		29.204	
579	AL	landfill	114.715		29.228	
580	CA	landfill	114.256		29.302	
581	PA	landfill	114.155		29.319	
582	AR	landfill	114.020		29.340	
583	PA	landfill	113.829		29.371	
584	TX	landfill	113.723		29.389	
585	SC	landfill	113.546		29.418	
586	OK	landfill	112.579		29.577	
587	ID	farm		334.075		29.649	
588	FL	landfill	111.586		29.744	
589	CA	farm		329.085		29.760	
590	TX	farm		323.557		29.888	
591	MI	landfill	110.319		29.961	
592	CA	landfill	110.271		29.970	
593	VT	landfill	110.174		29.987	
594	ID	farm		311.664		30.177	
595	CA	farm		300.877		30.459	
596	ID	farm		293.377		30.668	
597	TX	farm		292.241		30.700	
598	AZ	farm		290.030		30.764	
599	MN	farm		283.366		30.963	
600	KS	farm		282.111		31.002	
601	CA	farm		280.408		31.055	
602	ID	farm		278.107		31.127	
603	CO	farm		275.986		31.195	
604	TX	farm		269.770		31.400	
605	NM	farm		267.230		31.486	
606	ID	farm		265.079		31.561	
607	CA	farm		264.601		31.577	
608	WI	farm		255.367		31.913	
609	WA	farm		254.471		31.946	
610	ID	farm		253.784		31.972	
611	TX	farm		252.529		32.021	
612	CA	farm		251.871		32.046	
613	AZ	farm		251.154		32.074	
614	ID	farm		243.893		32.365	
615	CA	farm		241.293		32.473	
616	TX	farm		238.693		32.584	
617	KS	farm		238.424		32.595	
618	ID	farm		235.108		32.740	
619	MN	farm		234.958		32.747	
620	CO	farm		232.598		32.853	
621	CA	farm		232.299		32.867	
622	NM	farm		230.864		32.932	
623	TX	farm		227.309		33.098	
624	ID	farm		227.249		33.101	
