MNUMYR,MNUMNR,MNUMYRVIN,M3,GDS_Vintage45V
38,16,35,3,0.0002
38,16,36,3,0.0002
38,16,37,1,0.1776
38,16,37,3,0.0002
38,16,38,1,0.7404
38,16,38,2,0.6072
38,16,38,3,0.0002
38,17,34,1,0.0485
38,17,34,2,0.0803
38,17,35,1,0.0242
38,17,35,2,0.0654
38,17,35,3,0.0029
38,17,36,2,0.5316
38,17,36,3,0.0035
38,17,37,1,0.0418
38,17,37,3,0.003
38,17,38,1,0.1515
38,17,38,2,0.2301
38,17,38,3,0.0029
38,18,34,1,0.0652
38,18,34,2,0.0032
38,18,35,3,0.0008
38,18,36,1,0.0164
38,18,36,2,0.9092
38,18,36,3,0.001
38,18,37,1,0.0576
38,18,37,3,0.0008
38,18,38,1,0.1066
38,18,38,2,0.0672
38,18,38,3,0.0008
38,19,34,2,0.3655
38,19,35,3,0.0002
38,19,36,1,0.0566
38,19,36,2,0.4513
38,19,36,3,0.0002
38,19,37,1,0.1589
38,19,37,3,0.0002
38,19,38,1,0.0427
38,19,38,3,0.0002
38,20,34,1,0.0296
38,20,34,2,0.2111
38,20,35,1,0.0201
38,20,35,2,0.3017
38,20,35,3,0.001
38,20,36,1,0.0236
38,20,36,2,0.0527
38,20,36,3,0.0012
38,20,37,1,0.3856
38,20,37,3,0.001
38,20,38,1,0.0553
38,20,38,3,0.001
38,21,34,1,0.0498
38,21,34,2,0.0859
38,21,34,3,0.0002
38,21,35,1,0.0446
38,21,35,2,0.1944
38,21,35,3,0.0004
38,21,36,1,0.0686
38,21,36,2,0.0194
38,21,36,3,0.0003
38,21,37,3,0.0003
38,21,38,1,0.0685
38,21,38,2,0.0776
38,21,38,3,0.0002
38,22,34,2,0.1103
38,22,34,3,0.0021
38,22,35,1,0.0054
38,22,35,2,0.0942
38,22,35,3,0.0019
38,22,36,1,0.0031
38,22,36,2,0.1306
38,22,36,3,0.001
38,22,37,3,0.0009
38,22,38,3,0.0113
38,23,34,1,0.0311
38,23,34,2,0.2374
38,23,34,3,0.0006
38,23,35,1,0.056
38,23,35,2,0.0856
38,23,35,3,0.0002
38,23,36,1,0.0646
38,23,36,2,0.2607
38,23,36,3,0.0001
38,23,37,3,0.0001
38,23,38,3,0.0001
38,24,34,1,0.0394
38,24,34,2,0.2957
38,24,35,1,0.0197
38,24,35,2,0.2385
38,24,35,3,0.0045
38,24,36,1,0.0497
38,24,36,2,0.0465
38,24,36,3,0.0054
38,24,37,1,0.1112
38,24,37,3,0.0046
38,24,38,1,0.2195
38,24,38,3,0.0044
38,25,34,2,0.2162
38,25,34,3,0.008
38,25,35,1,0.0582
38,25,35,2,0.0842
38,25,35,3,0.0054
38,25,36,1,0.0007
38,25,36,2,0.1423
38,25,36,3,0.0004
38,25,37,3,0.0004
38,25,38,1,0.4452
38,25,38,3,0.0004
39,1,34,1,0.0623
39,1,34,2,0.1422
39,1,35,1,0.029
39,1,35,2,0.3654
39,1,35,3,0.0013
39,1,36,1,0.0114
39,1,36,2,0.2262
39,1,36,3,0.0015
39,1,37,3,0.0013
39,1,38,3,0.0013
39,1,39,3,0.0013
39,2,34,2,0.0605
39,2,35,2,0.0637
39,2,35,3,0.0015
39,2,36,2,0.0348
39,2,36,3,0.0018
39,2,37,2,0.0163
39,2,37,3,0.0015
39,2,38,2,0.288
39,2,38,3,0.0015
39,2,39,2,0.3608
39,2,39,3,0.0015
39,3,34,1,0.0215
39,3,34,2,0.2177
39,3,35,1,0.0231
39,3,35,2,0.2017
39,3,35,3,0.0019
39,3,36,1,0.0318
39,3,36,3,0.0011
39,3,37,1,0.06
39,3,37,3,0.0009
39,3,38,1,0.1553
39,3,38,3,0.0009
39,3,39,3,0.0009
39,4,34,1,0.0497
39,4,34,2,0.1384
39,4,35,1,0.0204
39,4,35,2,0.4546
39,4,35,3,0.0021
39,4,36,1,0.0318
39,4,36,2,0.1873
39,4,36,3,0.0062
39,4,37,3,0.0022
39,4,38,3,0.0021
39,4,39,1,0.5113
39,4,39,3,0.0021
39,5,34,1,0.0815
39,5,34,2,0.0999
39,5,35,2,0.0869
39,5,35,3,0.0006
39,5,36,2,0.3289
39,5,36,3,0.0008
39,5,37,1,0.2332
39,5,37,3,0.0006
39,5,38,1,0.2098
39,5,38,3,0.0006
39,5,39,2,0.1658
39,5,39,3,0.0006
39,6,34,2,0.0891
39,6,35,1,0.3639
39,6,35,2,0.1144
39,6,35,3,0.0012
39,6,36,2,0.0669
39,6,36,3,0.0014
39,6,37,1,0.6361
39,6,37,3,0.0012
39,6,38,2,0.4532
39,6,38,3,0.0012
39,6,39,2,0.2413
39,6,39,3,0.0012
39,7,34,2,0.0799
39,7,34,3,0.0007
39,7,35,1,0.1504
39,7,35,2,0.1164
39,7,35,3,0.0001
39,7,36,1,0.1345
39,7,36,2,0.0688
39,7,36,3,0.0001
39,7,37,1,0.1153
39,7,37,3,0.0001
39,7,38,1,0.2532
39,7,38,3,0.0001
39,7,39,1,0.0543
39,7,39,3,0.0001
39,8,34,1,0.5699
39,8,35,2,0.0038
39,8,35,3,0.0556
39,8,36,2,0.1068
39,9,34,1,0.154
39,9,34,2,0.0967
39,9,35,1,0.0349
39,9,35,2,0.2394
39,9,35,3,0.0024
39,9,36,1,0.1235
39,9,36,2,0.347
39,9,36,3,0
39,9,37,1,0.081
39,9,37,3,0
39,9,38,3,0
39,9,39,3,0
39,10,34,1,0.0239
39,10,34,2,0.0266
39,10,35,1,0.3309
39,10,35,2,0.0378
39,10,35,3,0.0002
39,10,36,2,0.8054
39,10,36,3,0.0003
39,10,37,3,0.0003
39,10,38,3,0.0002
39,10,39,1,0.2996
39,10,39,3,0.0002
39,11,34,1,0.0007
39,11,34,2,0.1638
39,11,35,2,0.4385
39,11,35,3,0.0016
39,11,36,1,0.0218
39,11,36,2,0.2622
39,11,36,3,0.0015
39,11,37,1,0.3138
39,11,37,3,0.0013
39,11,38,1,0.0575
39,11,38,3,0.0012
39,11,39,1,0.0048
39,11,39,3,0.0012
39,12,34,1,0.0749
39,12,34,2,0.4201
39,12,35,2,0.0324
39,12,35,3,0.0001
39,12,36,1,0.0724
39,12,36,3,0.0001
39,12,37,3,0.0001
39,12,38,3,0.0001
