!Resid             Play     ITEM  COUNTER
@
UOWY2284210   99949033     703     691
UOWY2321210       3401     704      46
UOWY2321710       3402     705     692
UOWY2323010       3405     706     693
UOWY2323510       3406     707      48
UOWY2323910       3407     708      49
UOWY2324910       3501     709      50
UOWY2328010       3506     710      51
UOUT2335710   99943036     711     694
UOWY2335810   99949036     712     695
UOWY2356010   99949037     713     696
UOCO2418310       3801     714     697
UOCO2418510       3802     715     698
UONE2418810   99926039     716     699
UOCO2418910   99905039     717     700
UOWY2419010   99949039     718     701
UOSD2419210   99940039     719     702
UOCO2487910       4001     720     703
UOCO2489410       4005     721      62
UOTX2490510       4301     722     704
UOTX2494510       4403     723      65
UOTX2497210       4405     724     705
UOTX2499010       4406     725     706
UOTX2500910       4408     726      68
UOTX2501310       4409     727      69
UOTX2504410       4411     728     707
UOOK2533210   99935045     729     708
UOTX2533510   99942045     730      71
UOTX2543010       4601     731     709
UOTX2543810       4701     732     710
UOTX2548910       4708     733     711
UOTX2553710       4715     734     712
UOTX2554310       4716     735     713
UOTX2556810       4719     736     714
UOTX2569210       4728     737     715
UOTX2578210       4739     738     716
UOLA2583710       4744     739     717
UOLA2584710       4745     740     718
UOMS2620610       4901     741     719
UOTX2621410       4902     742     720
UOMS2624710       4905     743     721
UOAL2625810       4906     744     722
UOAL2628610       4911     745     723
UOMS2629010       4912     746     724
UOTX2631410       4916     747     725
UOAR2632410       4917     748     726
UOAL2634510       4919     749     727
UOMS2635510       4921     750     728
UOMS2637310       4925     751      87
UOMS2639110       4928     752     729
UOMS2641510       4932     753     730
UOMS2642910       4934     754     731
UOTX2643810       4936     755     732
UOMS2644210       4937     756     733
UOLA2645310       4938     757     734
UOTX2646910       4942     758     735
UOMS2647210       4943     759     736
UOMS2647810       4945     760     737
UOFL2660410   99909050     761     738
UOMI2662310       5101     762     739
UONE2663310       5305     763     740
UOKS2663710       5309     764     741
UOKS2664110       5501     765     742
UOKS2664810       5503     766     743
UOKS2665810       5505     767     744
UOKS2666110       5507     768     104
UOMO2666310       5601     769     105
UOOK2679110       5810     770     106
UOOK2682610       5815     771     745
UOOK2687110       5820     772     746
UOKS2691510       5901     773     747
UOOK2693510       6003     774     748
UOOK2694110       6005     775     111
UOOK2694510       6007     776     112
UOOK2695610       6102     777     749
UOOK2696110       6103     778     114
UOOK2697010       6105     779     115
UOOK2698210       6109     780     116
UOOK2698410       6110     781     750
UOMI2701810       6301     782     119
UOMI2702210       6304     783     120
UOMI2702610       6306     784     121
UOMI2705910       6309     785     751
UOMI2707810       6311     786     125
UOIL2731210       6401     787     752
UOIL2731310       6402     788     753
UOIL2731910       6403     789     754
UOIL2732010       6404     790     755
UOKY2743110       6601     791     756
UOKY2743410       6602     792     132
UGWA2016216        401     793     133
UGWA2016616        402     794     757
UGWA2016816        403     795     135
UGWA2016916        404     796     758
UGOR2017716        407     797     137
UGOR2017916        410     798     138
UGWA2046416        501     799     759
UGOR2047016        502     800     760
UGCA2059916        701     801     761
UGCA2060716        703     802     762
UGCA2061316        901     803     763
UGCA2061716        902     804     764
UGCA2062616        903     805     146
UGCA2063916   99904010     806     765
UGCA2078316       1311     807     766
UGID2084216       1701     808     767
UGNV2088316       1905     809     768
UGCO2089416   99905020     810     769
UGUT2089416   99943020     811     770
UGCO2131616       2104     812     771
UGUT2133316       2105     813     152
UGUT2133716       2107     814     772
UGNM2164216       2301     815     154
UGAZ2166116       2504     816     773
UGMT2169716   99925027     817     774
UGMT2179116       2808     818     775
UGMT2179716       2809     819     159
UGMT2227016       2901     820     776
UGMT2227216       2903     821     777
UGMT2227516       2904     822     778
UGMT2227916       2907     823     779
UGND2239716       3102     824     780
UGND2240916       3103     825     781
UGND2242416       3107     826     782
UGWY2322316       3403     827     169
UGWY2324516       3408     828     170
UGWY2325916       3502     829     171
UGWY2326616       3503     830     172
UGWY2327716       3504     831     783
UGWY2328216       3515     832     174
UGCO2357516   99905037     833     784
UGUT2357916   99943037     834     785
UGCO2488816       4004     835     786
UGCO2490016   99905041     836     787
UGNM2490016   99930041     837     788
UGTX2492416       4401     838     789
UGTX2493516       4402     839     790
UGTX2496816       4404     840     181
UGTX2500616       4407     841     791
UGTX2502116       4410     842     792
UGTX2506416       4412     843     793
UGTX2545016       4703     844     794
UGTX2546216       4704     845     795
UGTX2548016       4705     846     189
UGLA2551416       4709     847     190
UGTX2553216       4710     848     796
UGTX2554916       4717     849     797
UGTX2556616       4718     850     798
UGTX2558916       4720     851     799
UGTX2559316       4721     852     800
UGTX2561616       4722     853     197
UGTX2563816       4723     854     198
UGTX2564916       4724     855     801
UGTX2565916       4725     856     802
UGTX2566916       4726     857     803
UGTX2568816       4727     858     202
UGTX2570316       4729     859     203
UGTX2570416       4730     860     804
UGTX2571316       4731     861     205
UGTX2572116       4732     862     805
UGTX2573116       4733     863     207
UGTX2574016       4734     864     806
UGLA2575016       4735     865     807
UGLA2575916       4736     866     808
UGLA2576916       4737     867     809
UGLA2577616       4738     868     810
UGLA2579716       4740     869     213
UGLA2581416       4741     870     214
UGTX2582416       4742     871     811
UGLA2583316       4743     872     812
UGAL2623416       4903     873     813
UGMS2624016       4904     874     814
UGMS2626016       4907     875     815
UGMS2626516       4909     876     816
UGAL2627916       4910     877     222
UGMS2630216       4913     878     817
UGLA2630916       4915     879     818
UGAL2633816       4918     880     227
UGTX2635116       4920     881     819
UGTX2636016       4922     882     820
UGTX2636916       4924     883     230
UGLA2637916       4926     884     821
UGTX2638716       4927     885     232
UGLA2639516       4929     886     822
UGTX2640216       4930     887     823
UGLA2641016       4931     888     824
UGLA2642216       4933     889     235
UGLA2643216       4935     890     825
UGMS2646516       4941     891     826
UGLA2648016       4946     892     827
UGFL2648516       4947     893     828
UGNE2663016       5303     894     241
UGKS2665416       5504     895     829
UGOK2674816       5801     896     830
UGKS2675616       5802     897     244
UGKS2676116       5803     898     831
UGOK2676916       5804     899     832
UGKS2677516       5805     900     247
UGKS2677916       5807     901     248
UGOK2678516       5809     902     833
UGOK2680416       5812     903     250
UGKS2681216       5813     904     251
UGKS2681916       5814     905     834
UGKS2684416       5816     906     254
UGOK2684816       5817     907     255
UGKS2685316       5818     908     256
UGKS2686516       5819     909     835
UGOK2688416       5821     910     836
UGOK2688816       5822     911     837
UGOK2689516       5823     912     838
UGTX2690116       5824     913     262
